문장,긍정 확률,star,result
아직 이런 영화가 나올 수 있음에 감탄하며 ,0.7831265926361084,1,1.0
김수미 선생 때문에 만든 영화 그나마 무대인사로 유라봐서 점 더 줍니다 ,0.055221401154994965,2,0.0
꼭 이 영화를 만들어야 했을까 ,0.2222406417131424,5,1.0
옛 기억을 떠오르게 하는 영화 ,0.9871565699577332,4,4.0
언제적 가문의 영광이 아직도 나온다니 놀라울따름 ,0.4770219922065735,6,3.0
당황스러웠던 기억이 나네요 ,0.03682185709476471,10,0.0
별점 점은 왜 줄 수 없는지 년에 년도 영화 보는줄 ,0.3693607747554779,1,0.0
재미가 있고 없고를 떠나 영화적 완성도조차 조악하다 ,0.00820811465382576,2,0.0
영화관에서 왜 보려고 했을까 후회됨 ,0.02249341644346714,2,0.0
이제는 그만 만들어야 할 시리즈 ,0.013699743896722794,2,0.0
뭐라고 말하기 어려움 ,0.025834908708930016,5,0.0
왜 점은 못 주는거죠 ,0.3705899119377136,1,0.0
과거로의 리턴즈 다시 돌아오지 말자 ,0.4591524302959442,5,2.0
이런 리턴즈는 이제 그만하자 ,0.02915799804031849,7,0.0
기대 없이 봤음에도 별로에요 ,0.009722892194986343,1,0.0
좀 유치해도 김수미 할머니의 찰진 욕이 좋았어요 오랜만에 느끼는 가문의 영광 시리즈 갬성이었어요 윤현민 배우가 임영웅 닮게 나오는 것 같아요 ,0.849242627620697,6,5.0
유라 예쁨 나름 피식 거리며 봄 ,0.9316813349723816,4,4.0
영화 가문의 영광 리턴즈  평점  ,0.641761302947998,3,2.0
평점의 의미가 있는지 모르겠네요 ,0.031950876116752625,1,0.0
차라리 유튜브 컨텐츠로 제작하지 그랬어요 돈이라도 아끼게 ,0.019817108288407326,2,0.0
이 시리즈가 계속 나올거라곤 생각도 못했음 ,0.6641548871994019,1,1.0
생각보다는 무난했는데 웃음도 재미도 부족했습니다 ,0.007449409458786249,4,0.0
아쉬움이 많이 남는 영화 ,0.02941131964325905,2,0.0
 이제는 그만 만들어야 할 시리즈 ,0.013699743896722794,1,0.0
시대반영못한 영화는 만들지마세요 ,0.05427701026201248,2,0.0
아쉬움이 크게 남는 영화입니다 ,0.03489089012145996,1,0.0
시간의 소중함을 알려주는 영화 ,0.01722986064851284,1,0.0
리클라이너에서 보다 푹 잤다 ,0.09321288764476776,2,0.0
감상감동 클릭할거 없는 영화 오랜만 이렇게 할거면 리턴하지말자 ,0.24776232242584229,7,2.0
 생각보다 별로 였어요 ,0.008989841677248478,3,0.0
할말이 없네요 ,0.013040893711149693,2,0.0
이럴수가 코미디영화가 뒷걸음치다니 아쉽네요 ,0.2806597650051117,1,0.0
영화 좀 성의있게 만들지 ,0.027439750730991364,3,0.0
너무 루즈하고 지루하고 김수미 배우님을 제외한 나머지 배우들은 연기가 오바스럽고 집중을 못할 정도였다고 생각한다 ,0.009599350392818451,2,0.0
이제 그만 놓아 주어야 할 영화 ,0.011460389010608196,1,0.0
이제는 그만 만들어야 할 시리즈 제발 ,0.015304931439459324,1,0.0
다시 리턴즈하길 바랍니다 ,0.8434865474700928,1,1.0
애매하다 애매해서 적을 말이 딱히 없다 ,0.1122005507349968,6,1.0
내 돈하고 시간이 아까워요 ,0.007683887146413326,4,0.0
그냥 보세용 ,0.06164242699742317,8,0.0
잘봤어요 ,0.9795008897781372,6,6.0
그냥 킬링타임용 입니다 ,0.023570343852043152,6,0.0
나만 당할 수 없지 올해 최고의영화 ,0.9918898940086365,10,10.0
억지스럽고 웃음 포인트가 크게 없네요 ,0.00725595373660326,2,0.0
이걸 평가를 해야 하나 싶네요  ,0.3086675703525543,2,1.0
감상포인트 선택할게 없음 ,0.12630826234817505,1,0.0
영화 찍는 기간이 엄청 짧았다고 들었는데 시간  없으면 그냥 만들지 마세요 ,0.028704125434160233,2,0.0
기본적인 성의는 있어야하지 않나 ,0.09897049516439438,2,0.0
영화 평점 처음 답니다남는게 시간뿐이거나 한숨 자러 가실 분들만 보세요모든게 최악입니다 ,0.013849821873009205,1,0.0
보는게 쉽지가 않다 ,0.5254974365234375,1,1.0
음과거의 영광은 과거로 끝냈어야 ,0.15401047468185425,6,1.0
점은 없나요 점도 만들어주세요 ,0.23010405898094177,1,0.0
보고 후회하는 영화개그도 안웃기고 내 시간이 아깝다 ,0.007129147183150053,1,0.0
부모님은 좋아하시는 영화네요효도한걸로 칩시다 ,0.0648796483874321,4,0.0
재미있게 잘 봤습니다  ,0.9924001693725586,6,6.0
작품성은 없다고 처음부터 들었지만 시대착오적이기까지 할 줄은 몰랐다 ,0.041176680475473404,2,0.0
남녀 주연배우 두분 고생에 박수를 ,0.10260278731584549,2,0.0
한국영화를 년은 퇴화시키는 ,0.02866986021399498,1,0.0
아 이러지마세요 영화사장 물 흐리지말자 ,0.012821219861507416,4,0.0
코믹 영화인데 일단 웃기지가 않아요 ,0.08088871091604233,3,0.0
극장에서 잘 봤습니다 ,0.7519649267196655,10,8.0
다른 건 모르겠고 유라가 예뻐요 ,0.7885946035385132,2,2.0
크게 기대안한 건 맞는데배우 연기마저 이렇게 형편없을 줄은윤현민 오늘부터 안티한다 ,0.009588451124727726,1,0.0
흠 스쿠 아니면 안봤을듯 ,0.19070157408714294,4,1.0
뇌빼고 생각빼고 보자 그러믄 볼만할지도 ,0.05688835307955742,5,0.0
재밌습니다 추천합니다 ,0.9924998879432678,10,10.0
