문장,긍정 확률,star,result
전체적으로 재밌었습니다 ,0.9921396374702454,10,10.0
역시 초창기 극장판이 최고다 스토리는 무난할지라도 밀레니엄 감성 낭낭하다 ,0.9750702381134033,8,8.0
굿즈를 개나 받았네요 하하 ,0.6601012945175171,6,4.0
코난 영화 재밌게 잘 봤어요 ,0.9924587607383728,10,10.0
극장판의 시작을 본다는 것이 매우 반갑다 ,0.9830495715141296,7,7.0
재밌는 영화입니다 추천해요 ,0.9925364255905151,10,10.0
아주 재밌습니다 자막으로 보시면 더 재밌고 예고편만 봐도 바로 보고 싶을 정도니까나만 그런가 반전의 반전의 반전의 반전이 있느니까 꼭 보시길 바랍니다크기는 작아졌어도 두뇌는 그대로진스카 이토리츠 모츠진실은 언제나 하나 ,0.9924578666687012,10,10.0
스토리가 흥미롭고 일어나는 사건들을 추리하는 재미가 있어요 ,0.9925090670585632,10,10.0
코난 초창기 극장판은 그냥 믿고 보는 거임 ,0.8202439546585083,10,8.0
이제는 전설이 된 명탐정 코난의 첫번째 극장판 ,0.9715876579284668,10,10.0
역시 코난 뭐 말이 필요없는 애니 ,0.9802228808403015,9,9.0
명탐정코난 극장판의 시초답습니다 최근 극장판과 다른 추리 중심의 개연성 있는 사건 전개가 너무 인상깊습니다 하이바라 등 상대적으로 후반부에 나오는 캐릭터가 없긴 하지만 그렇기 때문에 신란의 관계성이 더욱 주목받을 수 있는 것 같습니다 ,0.9920172691345215,10,10.0
굿굿굿굿굿 ,0.9901296496391296,8,8.0
구작이 명작인 이유릉 보여줌 ,0.7999252676963806,10,8.0
명탐정코난 극장판 시리즈의 근본 ,0.8554603457450867,10,9.0
기 극장판을 영화관에서 볼 수 있다니 엄청난 큰 감동이 되어요 ,0.992453396320343,10,10.0
재앙가득한 개봉작들 사이에 핀 장미꽃 ,0.08042673021554947,8,1.0
코난 극장판이 무려 년 넘게 나올 수 있게해준 작품을 원판으로 보게 되다니 너무 좋네요 스토리며 작화며 레전드 ,0.9921403527259827,10,10.0
클래식의 힘 정말 멋지다 ,0.9923298954963684,10,10.0
코난 극장판의 시작을 알리는 극장판 ,0.8588325381278992,8,7.0
명탐정 코난 기 극장판 극장에서 보니까 좋았습니다 ,0.9771388173103333,10,10.0
레전드 극장판의 시작 마지막 장면은 명장면이다 님들 이제 코난 극장판 국내개봉 안한거 순서대로 해주실거라 믿습니다 특히 베이커가의 망령이랑 천국으로의 카운트다운은 극장에서 꼭 보고 싶네요 ,0.9924296736717224,10,10.0
잘 봤습니다 재밌어요 ,0.992506206035614,10,10.0
오랜만에 추억여행했어요 ,0.9924039244651794,10,10.0
역시 코난의 근본이다 ,0.8901169300079346,7,6.0
이걸 극장에서 볼 수 있어 좋았네요 ,0.8503550291061401,10,9.0
영화 잘 봤습니다 재밌네요 ,0.9924814701080322,10,10.0
초기 코난 그림체와 초기 극장판은 명작임 ,0.9017214179039001,9,8.0
기 초창기 극장판을 본 팬들이 요즘 극장판에 열광하지 못하는 이유 ,0.612863302230835,10,6.0
볼만했어오 볼만했어요 ,0.9232611656188965,8,7.0
나도 완벽주의를 추구해서 천재 건축가의 심정이 백번 이해되면서도 너무나도 미친 짓이라서 더욱 흥미로웠던 첫 번째 극장판 ,0.992316722869873,10,10.0
코난 명작 극장판중 그 첫 번째 ,0.9924362301826477,10,10.0
더 선명해진 코난에 대한 감동이 다시 한번 ,0.9854472875595093,10,10.0
재미있게  잘 봤습니당 ,0.8020517826080322,8,6.0
코난은 뭐 몇번씩 봐도 재미있네요 다른작품 극장판 또 나오면 좋겠네요 영화 잘봤습니다 ,0.9912452101707458,10,10.0
초기작이라 소소한 재미가 있네요 ,0.9828341007232666,10,10.0
간만에 정통추리물로 돌아와서 만족스러운 영화 ,0.9924156665802002,8,8.0
명탐정 코난의 첫 극장판이라는 점에서 그럭저럭 볼만하다 ,0.6912603974342346,6,4.0
이 그림체는 실망 시키지 않는다 ,0.8561710119247437,9,8.0
극장에서 봐서 넘 좋았음 ,0.9922763705253601,10,10.0
