문장,긍정 확률,star,result
편에 비해 아쉬운거지 못볼만한 영화는 절대 아닙니다 ,0.5219501852989197,6,3.0
뻔하고 뇌빼고 보면 볼만한 정도 ,0.6959388852119446,6,4.0
짜침 걍구림카메라 구도도 구리고음악은 음시작핫지 분만에 짜침영화내내짜쳐서안짜친부분을찾기가힘들다 ,0.02279689349234104,5,0.0
밀수에 이어 베테랑까지 류승완의 몰락을 보았다 ,0.056791890412569046,6,0.0
두드러지는 장점이 사라져 아쉽다 ,0.22589409351348877,5,1.0
몰입감이 계속 있어요 정해인이 연기를 정말 잘해요 ,0.9921035766601562,8,8.0
재밌읍니다재밌읍니다 ,0.9906485676765442,10,10.0
전체적으로 재밌었습니다 ,0.9921396374702454,10,10.0
연기는 좋지만 서사가없다 기승전결을 지켰더라면 ,0.01464923471212387,6,0.0
계단씬과 옥상씬은 볼만하다 ,0.4518700838088989,8,4.0
김빠진 탄산음료 같은 영화 ,0.1646696776151657,8,1.0
베테랑베테랑베테랑베테랑 ,0.6199344992637634,10,6.0
베테랑 잘 봤습니다 ,0.8687063455581665,6,5.0
전편만한속편이나오기힘든듯 ,0.23273538053035736,4,1.0
편에 비해 아쉽고 설명이 부족한 부분이 많지만 액션씬 하나만큼은 재밌게 봤습니다 ,0.9580839276313782,5,5.0
첫 오프닝에 왜 그런 유치한 개그요소를 넣었을까 ,0.029536664485931396,5,0.0
베테랑를 보고나서 깨달았습니다 전작인 밀수는 잘 만든거였구나뭐 그래도 범죄도시보단 나았습니다 ,0.14550864696502686,5,1.0
정해인 배우의 빌런 연기 선한 얼굴 속 미소가 계속 생각이 나네요  기대한만큼 재미있게 잘 봤습니다 남산 계단씬과 건물 옥상씬 정말 좋았습니다 ,0.9918447136878967,10,10.0
보다 너무 감흥이 떨어져서 아쉬운 전편만한 속편 없다 ,0.00843255128711462,6,0.0
분명 아쉬운 부분도 있었지만 액션은 좋았다 ,0.42278480529785156,8,3.0
정돈된 비빔밥이 아니라 다 섞여버린 잡탕이 되어버린 케이스 ,0.017310548573732376,5,0.0
불쾌하고 재미없는 영화 ,0.007392068859189749,1,0.0
너무 재밌고 액션씬도 너무 좋음 ,0.9916455149650574,10,10.0
과는 전혀 다른 느낌이네요 ,0.7533174157142639,8,6.0
편에 비하면 노잼감독이 욕심이 많았네 중구난방이야 ,0.016510551795363426,6,0.0
재미잏게 잘보았어요 저는 ,0.9925035238265991,9,9.0
액션씬 제외하곤 많이아쉬움 ,0.03109799325466156,4,0.0
조금 아쉽지만 그럭저럭하지만 내용은 아쉬움 재밌게 봤네요 ,0.9898682832717896,8,8.0
영화 감상 즐거웠습니다 ,0.9704536199569702,10,10.0
범죄 느와르 장르에 이정도 액션이면 장르에 충실했다고 봄 ,0.9116295576095581,8,7.0
호쾌한 영화를 기대했는데불쾌한 장면이 여럿있었다 ,0.02798682451248169,6,0.0
정해인의 눈빛 잘봤습니다 ,0.9899391531944275,10,10.0
강렬하고 간결해서 킬링타임으로 보기에 좋은 영화 다들 연기 잘하지만 정해인배우에게 확실히 눈길이 갑니다 ,0.9924924969673157,8,8.0
사적제재라는 주제는 좋았다 근데 그게 다임 ,0.08289850503206253,6,0.0
웃으면서 재밌게 봤어요 ,0.9919919371604919,10,10.0
베테랑은 만들지 마세요 정말 이 갈고 만들 거 아니면 ,0.021109160035848618,6,0.0
흥미롭게 봤습니다 액션 좋네요 ,0.9923072457313538,10,10.0
